Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
10/30/08 5:30,Pound,VA,Triangle,6 seconds,Triangular craft w/multiple lights seen in Western Virginia on a southerly path. Low and fast. Silent. BBD?,3/19/09,10/30/08,5:30:00,AM
10/29/08 22:14,Salisbury,NH,Triangle,3 Minutes,Second sighting in the same area.,10/31/08,10/29/08,10:14:00,PM
10/29/08 20:00,Walnut Ridge,AR,Triangle,Half hour,"((HOAX??)) Six trangle shaped crafts with no noise, bright white lights, a few red lights, flying and hovering over NE Ark.",1/10/09,10/29/08,8:00:00,PM
10/29/08 19:50,Bowling Green,OH,Triangle,5 minutes,"There were three objects in the sky, quiet close together- all silent, two moving and one that stayed still until it disappeared.",10/31/08,10/29/08,7:50:00,PM
10/29/08 19:30,La Jolla,CA,Triangle,10 sec,A massive semi-transparent liquid blackish triangular shape,6/9/09,10/29/08,7:30:00,PM
10/29/08 19:30,West Riffa (Kingdom of Bahrain),,Triangle,,Weird Object moving slowly to West and then disappeared in nano second,10/31/08,10/29/08,7:30:00,PM
10/29/08 19:00,Las Vegas (north of; on Hwy. 95),NV,Triangle,~3 hours,Triangle shaped craft over Nevada Highway plus other red light craft,2/11/16,10/29/08,7:00:00,PM
10/29/08 18:45,Mesa,AZ,Triangle,30 minutes,Triangle light pattern with 4th light in the center observed by 2 neighbors,10/31/08,10/29/08,6:45:00,PM
10/29/08 3:00,Fitchburg,MA,Triangle,2 hours,Last night around 3am i was smoking a cig. i look up to the sky and see this really bright star but it starting moving and flickering.,10/31/08,10/29/08,3:00:00,AM
10/28/08 23:15,Dallas,TX,Triangle,30 seconds,3 square orange lights in a large triangle formation moving silently SSE over downtown Dallas.,10/31/08,10/28/08,11:15:00,PM
10/28/08 19:26,Moyock,NC,Triangle,3min,it seemed to be going extremely slow with bright lights,10/31/08,10/28/08,7:26:00,PM
10/27/08 8:00,Lahore (Punjab) (Pakistan),,Triangle,5 minutes,"Strange objects over lahore, Pakistan.",1/10/09,10/27/08,8:00:00,AM
10/26/08 23:17,St. Louis,MO,Triangle,1 1/2 hours,"Metallic object, square/triangular shape, with blinking lights.",10/31/08,10/26/08,11:17:00,PM
10/26/08 21:30,Redmond,OR,Triangle,10 seconds,"Looked like three stars traveling together in unison, until it was directly overhead.",10/31/08,10/26/08,9:30:00,PM
10/26/08 21:30,North,SC,Triangle,,Triangle shaped with strange lights.,10/31/08,10/26/08,9:30:00,PM
10/26/08 19:40,Phoenix,AZ,Triangle,30 minutes,"two craft objects seen, one horizontal in shape, the other triangular. And some flashing red orb shaped lights in the background",10/31/08,10/26/08,7:40:00,PM
10/25/08 22:00,Marion,OH,Triangle,1 minute,"A triangular craft sighted in Marion, Ohio was flying west leaving a deep bass coming from the sky.",1/10/09,10/25/08,10:00:00,PM
10/25/08 20:00,Oak Forest,IL,Triangle,A few seconds,Are The Tinley Park Lights coming back for Halloween 2008?,10/31/08,10/25/08,8:00:00,PM
10/24/08 21:30,Chesapeake,VA,Triangle,1 minute,"Triangle formation of lights, one green over Dismal Swamp areaChesapeake, Va",1/10/09,10/24/08,9:30:00,PM
10/20/08 23:12,Lawton,OK,Triangle,4 seconds,Large triangular object flying over military base.,6/4/14,10/20/08,11:12:00,PM
10/20/08 20:30,Virginia Beach,VA,Triangle,15 seconds,"Triangular craft, solid white lights with red center over Oceana Air Force Base Virginia Beach, VA",1/10/09,10/20/08,8:30:00,PM
10/19/08 1:00,Minot,ND,Triangle,2 Hours,"Obj. with 6 lights,triangular in shape with a tail, moved from the S area in the sky to the N and then just hovered.",10/31/08,10/19/08,1:00:00,AM
10/15/08 19:18,Winchester,TN,Triangle,5 seconds approx,Triangular craft - Winchester TN,10/31/08,10/15/08,7:18:00,PM
10/15/08 19:18,Winchester,TN,Triangle,10 seconds,Triangal/ Lights seen flying above house,10/31/08,10/15/08,7:18:00,PM
10/15/08 0:22,Arden,NC,Triangle,4 Seconds,"Black Triangle crossing the face of the moon viewed from a 8"" Dobsonian Telescope with star tracking software",1/10/09,10/15/08,12:22:00,AM
10/12/08 21:30,Buckinghamshire (UK/England),,Triangle,,i saw a ufo,5/12/09,10/12/08,9:30:00,PM
10/11/08 22:30,Los Angeles,CA,Triangle,30 seconds,Large Triangle sighted over L.A,10/31/08,10/11/08,10:30:00,PM
10/11/08 19:30,Naples,FL,Triangle,30 seconds,A dark flying V.,10/31/08,10/11/08,7:30:00,PM
10/10/08 18:00,Yuma,AZ,Triangle,15 minutes,"Carousel in the sky on fire / pixalated triangle over Yuma, AZ",10/10/11,10/10/08,6:00:00,PM
10/10/08 10:22,Fremont,CA,Triangle,1 minute,"I saw a brightly lightes v shaped ufo while driving through fremont,ca.",10/31/08,10/10/08,10:22:00,AM
10/9/08 23:00,Little Rock,AR,Triangle,1-2 minutes,Large/Slow Moving/Quiet /Low AltitudeTriangular Aircraft - Little Rock,10/31/08,10/9/08,11:00:00,PM
10/8/08 21:52,Midway City,CA,Triangle,36 minutes,"crazy lights moving in a triangluar pattern acrost the sky, one of them split into 2 and streaked acrost the sky.",10/31/08,10/8/08,9:52:00,PM
10/7/08 23:00,Schenectady,NY,Triangle,2 seconds,very high speed object,10/31/08,10/7/08,11:00:00,PM
10/7/08 22:00,Des Moines,IA,Triangle,10 MINUTED,WHILE I WAS DRIVING ON THE INTERSTATE I SAW 3 TRIANGLER UFOS OVER MY CAR.,10/31/08,10/7/08,10:00:00,PM
10/7/08 6:03,Monongahela,PA,Triangle,20 minutes,Twilight Fly-by Of Triangular Craft. ((NUFORC Note: Satellites?? PD)),10/31/08,10/7/08,6:03:00,AM
10/6/08 21:10,Bridgeport,CT,Triangle,10-15 minutes,three brightly lit arrow shaped objects observed in night sky,10/31/08,10/6/08,9:10:00,PM
10/6/08 20:00,Chagrin Falls,OH,Triangle,10 minutes,"It was to long and going much to slow to be a plane. It was huge, I couldn't believe what i has seen.",10/31/08,10/6/08,8:00:00,PM
10/3/08 21:35,Candor,NY,Triangle,,Slow Moving Triangular Object Seen,1/10/09,10/3/08,9:35:00,PM
10/3/08 2:00,Panoche/Mendota (between; on I-5),CA,Triangle,less than 10 minutes,Bizarre triangle UFO with three lights hovers over Interstate 5 in Central California,10/31/08,10/3/08,2:00:00,AM
10/2/08 23:00,Monroe,NY,Triangle,2 minutes,Triangular with red lights hovering and disappears,1/10/09,10/2/08,11:00:00,PM
10/2/08 21:00,Fort Worth,TX,Triangle,2 Minutes,Triangular craft with white glowing lights,10/31/08,10/2/08,9:00:00,PM
10/2/08 20:00,Marshalltown,IA,Triangle,4-5 seconds,"October 2, 2008 just after 8 p.m. Marshalltown, Iowa, saw a black triangular shaped object, with round green lights in V pattern",10/31/08,10/2/08,8:00:00,PM
10/1/08 22:55,Kingsport,TN,Triangle,3 seconds,"East Tennessee, 3 orb mass in the sky",10/31/08,10/1/08,10:55:00,PM
10/1/08 22:00,Garrett,IN,Triangle,.5 hour,Triangular shape with an array of lights and unusual amount of silent aircraft in the sky.,10/31/08,10/1/08,10:00:00,PM
10/1/08 0:00,Conway,AR,Triangle,10 minutes,Massive/low/silent black triangle cruises back and forth over downtown Conway,5/15/13,10/1/08,12:00:00,AM
9/29/08 22:00,Santa Maria,CA,Triangle,30 min,"3 objects flying over Santa Maria, Ca",10/31/08,9/29/08,10:00:00,PM
9/29/08 21:00,Woodside,CA,Triangle,few minutes,"Black triangular-shaped craft, moving very slowly 200 yards above our house; weooo, weooo, weooo sound; huge yellow beam in front.",10/31/08,9/29/08,9:00:00,PM
