Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian,,
1/22/18 3:30,Yakima,WA,Circle,15 minutes,"Yakima, WA, downtown area...Monday 1-22-2018 330 am multiple witnesses..multiple objects lights..and one large craft!!",1/25/18,1/22/18,3:30:00,AM,,
1/21/18 14:05,Cody,WY,Circle,Ongoing,With a spotting scope we could see it was bright white round with six round brighter lights on one side. It has stayed in the sky movi,1/25/18,1/21/18,2:05:00,PM,,
1/21/18 3:08,Central City,AR,Circle,15 minutes,Bright an full of energy.,1/25/18,1/21/18,3:08:00,AM,,
1/20/18 19:00,Poultney,VT,Circle,15 minutes,Slow moving light. ((anonymous report)),1/25/18,1/20/18,7:00:00,PM,,
1/19/18 7:49,Tampa,FL,Circle,2:23,Red/Orange ball over Tampa FL seen by retired salesman,1/25/18,1/19/18,7:49:00,AM,,
1/19/18 7:35,Orlando,FL,Circle,5 minutes,Bright orange ball of light over lake baldwin. We pulled over. There were allay three people recording. It was stationary and large. Su,1/25/18,1/19/18,7:35:00,AM,,
1/16/18 21:00,Loveland,CO,Circle,Continuous,"I look east. There are 3 vertical stars, that I use to see the craft. ((NUFORC Note: Possible sighting of stars?? PD))",1/25/18,1/16/18,9:00:00,PM,,
1/16/18 8:00,Sharptown,MD,Circle,15 seconds,Black Disk Shaped Non Metallic Flat Sphere following and surpassing Air Force Jet.,1/16/18,1/16/18,8:00:00,AM,,
1/14/18 11:45,Wilmington,MA,Circle,10 seconds,"Stationary round metallic object in the sky, WIlmington, MA, 1/14/18.",1/15/18,1/14/18,11:45:00,AM,,
1/14/18 0:00,Frederick,MD,Circle,4 minutes,As I was driving home from work on route 40 I saw a disc shaped object in the sky with a band of flashing lights surrounding it in a ci,1/15/18,1/14/18,12:00:00,AM,,
1/13/18 22:00,Grand Rapids,MI,Circle,3 minutes,"Saw 5 reddish/orange objects to the east. 2 danced with each other, too close to each other to be planes. ((anonymous report))",1/16/18,1/13/18,10:00:00,PM,,
1/13/18 20:30,Port Saint Lucie,FL,Circle,5 minutes,"5 orange-red objects flying low and slow at night. No sound no blinking..not far away, could see them clearly. Never seen anything like",1/14/18,1/13/18,8:30:00,PM,,
1/13/18 19:30,Coal Creek,CO,Circle,15 minutes,Unexplainable Large yellow glows of light appearing in 3's several times in 15 minutes time,2/16/18,1/13/18,7:30:00,PM,,
1/13/18 12:45,Pasadena,CA,Circle,1 hour,"Six UFO’s in Pasadena, CA. (video)",1/14/18,1/13/18,12:45:00,PM,,
1/10/18 19:20,Oakland (Canada),NB,Circle,5 minutes,Me my wife and children see a very bright light in the Southern sky that hovered for a couple minutes. Then all of the sudden it flew o,1/12/18,1/10/18,7:20:00,PM,,
1/9/18 21:15,Fayetteville,NC,Circle,25 seconds,"Bright balls of light in sky over Fayetteville, NC.",1/12/18,1/9/18,9:15:00,PM,,
1/7/18 20:07,Port St. Lucie,FL,Circle,7 seconds,I was standing on my back pirch talking on the phone and was looking in the sky facing west and saw a huge orange light descending very,1/12/18,1/7/18,8:07:00,PM,,
1/4/18 22:45,Raleigh,NC,Circle,2 hours,At about 22:45 last night the power went out in my entire apartment complex. I decieded to look outside and a bright light caught my ey,1/12/18,1/4/18,10:45:00,PM,,
1/3/18 17:15,Harleysville,PA,Circle,45 seconds,Bright ball of light in the sky outside of my window. ((anonymous report)),1/12/18,1/3/18,5:15:00,PM,,
1/1/18 21:29,Las Vegas,NV,Circle,3 minutes,Orange Red flame colored circular object slowly hovering across city sky,1/12/18,1/1/18,9:29:00,PM,,
1/1/18 16:41,Seattle,WA,Circle,10 seconds,Bright orb hovering Southwest of Puget Sound. Hovered then disappeared or blinked out. ((anonymous report)),1/12/18,1/1/18,4:41:00,PM,,
1/1/18 9:00,Brodnax,VA,Circle,20 minutes,Object accidentally caught on phone camera while taking photo of chemtrailing.,1/12/18,1/1/18,9:00:00,AM,,
1/1/18 1:30,Orlando,FL,Circle,10 minutes,I was driving home from a New Year's Eve party on my way home on Interstate 4 heading east I look towards the left and saw some firewor,1/12/18,1/1/18,1:30:00,AM,,
1/1/18 0:04,Port Charlotte,FL,Circle,4 minutes,"I was looking out the south window at 12;04AM. When I seen 3 craft flying low and slow, in a perfect triangle. Than went to the front o",1/12/18,1/1/18,12:04:00,AM,,
1/1/18 0:00,Miami,FL,Circle,~10 minutes +,3 Star like crafts in New Years 2018,1/12/18,1/1/18,12:00:00,AM,,
12/31/17 22:15,Bakersfield,CA,Circle,3 minutes,"saw a glowing object,I went to get my phone it sat above and as I recorded it, would it would go side to side as it spun in circles rea",1/12/18,12/31/17,10:15:00,PM,,
12/28/17 16:00,San Diego,CA,Circle,40 minutes,planet size object moving. east to west at 16:00,1/12/18,12/28/17,4:00:00,PM,,
12/28/17 15:50,Shelton,CT,Circle,15 seconds,Very bright round ball very high in the daytime sky and very bright.,1/12/18,12/28/17,3:50:00,PM,,
12/28/17 6:25,Iselin,NJ,Circle,15 seconds,looking towards the south about 90 degrees up saw a tiny dot move north to south for 10 sec then stop and made a very sharp left almost,1/12/18,12/28/17,6:25:00,AM,,
12/28/17 4:37,Albuquerque,NM,Circle,1 minute,Two circular objects giving off extremely bright yellow and green light before dissapating,1/12/18,12/28/17,4:37:00,AM,,
12/26/17 18:30,Seymour,CT,Circle,1-2 seconds,Fast-moving blue/ white light zoomed off. ((anonymous report)),1/12/18,12/26/17,6:30:00,PM,,
12/25/17 22:15,Canton,GA,Circle,2 minutes,"3 white circular lights horizontally flying east to west, last one changed colors before dissapearing.",1/12/18,12/25/17,10:15:00,PM,,
12/25/17 1:00,Anchorage,AK,Circle,5 minutes,"Anchorage Alaska Gray Aliens are conducting barbaric inhumane human experiments on innocent children,that needs to be destroyed!",1/12/18,12/25/17,1:00:00,AM,,
12/24/17 18:16,Douglas,GA,Circle,,There are 6 unexplained objects in my photo of the Sun. ((NUFORC Note: Possible lens flares?? PD)),1/12/18,12/24/17,6:16:00,PM,,
12/23/17 19:40,Ann Arbor,MI,Circle,Still going on at 1944,4 white circular objects flying fast in a repetitive pattern,1/12/18,12/23/17,7:40:00,PM,,
12/22/17 22:00,Okeechobee,FL,Circle,10 minutes,"4 silent objects at night each with 4 large red non-blinking lights moving east to west near Lake Okeechobee, Fl",1/12/18,12/22/17,10:00:00,PM,,
12/22/17 17:36,Aptos,CA,Circle,17:39,Lights in the sky. ((anonymous report)) ((NUFORC Note: Rocket launch at 17:27 hrs. (PST). PD)),1/12/18,12/22/17,5:36:00,PM,,
12/22/17 17:35,Huntington Beach,CA,Circle,,"Two white balls with weird illuminating smoke trail, balls where white glowing, N and split 1 going S. ((NUFORC Note: Rocket. PD))",1/12/18,12/22/17,5:35:00,PM,,
12/22/17 17:35,Temecula,CA,Circle,5 minutes,"Two white objects moving E and S, leaving behind a white trail. ((NUFORC Note: Missile launch from Vandenberg AFB @ 5:26 p.m.. PD))",1/12/18,12/22/17,5:35:00,PM,,
