Date / Time,City,State,Shape,Duration,Summary,Posted,Date,Time,Meridian,Month,Day,Year
4/17/09 21:20,Lavalette,WV,Circle,10 seconds,"Bright, moving circular object dims, brightens slightly then disapears in a clear sky.",5/12/09,4/17/09,9:20:00,PM,4,17,2009
4/17/09 10:10,Toronto (Canada),ON,Circle,30 min,Hovering object flickering overtop Toronto!,5/12/09,4/17/09,10:10:00,AM,4,17,2009
4/17/09 2:45,Orono (University of Maine),ME,Triangle,7 minutes,"On April 17th, on the UMaine campus, we saw a triangle shaped craft with three orange lights and one white light.",5/12/09,4/17/09,2:45:00,AM,4,17,2009
4/17/09 1:00,Isla Vista,CA,Triangle,6 seconds,"Triangular UFO with 7 dim lights in a V shape flies over Isla Vista in Santa Barbara, CA.",5/12/09,4/17/09,1:00:00,AM,4,17,2009
4/17/09 0:47,Santa Barbara,CA,Triangle,5 seconds,Silent Soaring Triangle with greyish tips heading West very Ominous.,5/12/09,4/17/09,12:47:00,AM,4,17,2009
4/17/09 0:45,Bossier City,LA,Triangle,10 min,triangular craft seen over city,5/12/09,4/17/09,12:45:00,AM,4,17,2009
4/16/09 2:00,Hermiston,OR,Triangle,8 seconds,V Light Formation,5/12/09,4/16/09,2:00:00,AM,4,16,2009
4/15/09 23:00,Newark,CA,Triangle,30 seconds,Orange Triangle shaped craft,7/4/12,4/15/09,11:00:00,PM,4,15,2009
4/15/09 15:51,Tampa,FL,Circle,2sec,I was taking a series of pics of airliner and in only two pics did an unknown object appear. At first it was small white dot and in n,5/12/09,4/15/09,3:51:00,PM,4,15,2009
4/15/09 1:00,Tulsa,OK,Triangle,10-15 seconds,"UFO Sighting in Tulsa, OK",8/5/09,4/15/09,1:00:00,AM,4,15,2009
4/13/09 22:50,Shepherd,TX,Triangle,1.00 minute,triangle object with bright lights,5/12/09,4/13/09,10:50:00,PM,4,13,2009
4/13/09 20:00,Stoke-on-Trent (UK/England),,Fireball,14 mins,it moved accross the sky like a red fireball,5/12/09,4/13/09,8:00:00,PM,4,13,2009
4/12/09 20:50,Manchester (UK/England),,Circle,1.26 mins,"4 orange balls in the sky in manchester, uk.",4/14/09,4/12/09,8:50:00,PM,4,12,2009
4/12/09 0:11,Middlesbrough (UK/England),,Circle,3 minutes,definitely not commercial or military aircraft,4/14/09,4/12/09,12:11:00,AM,4,12,2009
4/12/09 0:00,Middlesbrough (UK/England),,Triangle,10 minutes or so,4 orange orbs heading from right to left over the sky of Middlesbrough April 12th 2009.,6/9/09,4/12/09,12:00:00,AM,4,12,2009
4/10/09 23:00,Dunellen,NJ,Circle,kept coming back every fe,"pink light, came closer, looking like a white object, than reoccurred three more times in same area over the next half hour",4/14/09,4/10/09,11:00:00,PM,4,10,2009
4/10/09 11:34,Orlando,FL,Triangle,0:10 seconds,"Black Triangle, Three lights in the shape of a triangle.",4/14/09,4/10/09,11:34:00,AM,4,10,2009
4/10/09 8:30,Everett,MA,Circle,20 seconds,Everett Mass 3 witnesses,8/5/09,4/10/09,8:30:00,AM,4,10,2009
4/10/09 4:50,San Jose (Costa Rica),,Circle,45 minutos,Luz brillante circular muy intensa,4/14/09,4/10/09,4:50:00,AM,4,10,2009
4/9/09 22:45,Calcutta,OH,Circle,10 minutes,"3 lighted circular craft over calcutta,ohio.",5/12/09,4/9/09,10:45:00,PM,4,9,2009
4/9/09 2:00,Mount Vernon,WA,Triangle,4 seconds,"My two friends and I saw a triangular formation of lights in the sky and when we went to video tape them, they simply disappeared.",4/14/09,4/9/09,2:00:00,AM,4,9,2009
4/8/09 22:50,St. Davids,PA,Triangle,13,4 Triangular objects hovering over Eastern University,4/14/09,4/8/09,10:50:00,PM,4,8,2009
4/8/09 21:55,Toledo,OH,Circle,5 mins,"Round craft with big bright lights near Toledo, OH.",4/14/09,4/8/09,9:55:00,PM,4,8,2009
4/7/09 22:30,Abilene,TX,Triangle,30 minutes,Pictures were taken on cell phone.,4/14/09,4/7/09,10:30:00,PM,4,7,2009
4/7/09 4:30,Philippines,,Triangle,5 seconds,the first time i saw an object in the sky at 4:30 am five dots of light in v-shape formation appeared then disappeared.,4/14/09,4/7/09,4:30:00,AM,4,7,2009
4/7/09 0:00,Austin,TX,Circle,about 20 min,Bright Star like object,4/14/09,4/7/09,12:00:00,AM,4,7,2009
4/6/09 18:10,Indianapolis,IN,Triangle,7 seconds,wings up trianglur shaped craft moving faster than any jet and No flapping like a birds wings,4/14/09,4/6/09,6:10:00,PM,4,6,2009
4/6/09 16:40,Boston (UK/England),,Triangle,30 seconds,Black Triangle-Boston Docks,4/14/09,4/6/09,4:40:00,PM,4,6,2009
4/6/09 1:02,Pensacola,FL,Triangle,30 sec,"I saw 7 lights in the shape of the letter ""V"", They were all independant but flew together.",4/14/09,4/6/09,1:02:00,AM,4,6,2009
4/5/09 22:08,Champaign,IL,Triangle,7 seconds,"fast moving triangle with neon green light at each end, making no sound as it moved",5/12/09,4/5/09,10:08:00,PM,4,5,2009
4/4/09 23:30,Greensboro,NC,Fireball,Unknown,Large flickering light rising slowly in sky.,4/14/09,4/4/09,11:30:00,PM,4,4,2009
4/4/09 23:00,Horsham,PA,Triangle,30 seconds,Triangle,4/14/09,4/4/09,11:00:00,PM,4,4,2009
4/4/09 22:00,N. Yorkshire (UK/England),,Circle,few mins,"North Yorkshire, United Kingdom, at around 10pm, round with 5 bright orange lights, flying steadily in perfect formation",4/14/09,4/4/09,10:00:00,PM,4,4,2009
