Date / Time,City,State,Shape,Duration,Summary,Posted,Date of Sighting,Time of Sighting,Meridian
8/8/17 4:00,Grosse Pointe Farms,MI,Fireball,5 seconds,There was an extremely bright white light in the sky that zoomed away at a speed I have never seen before.,8/11/17,8/8/17,4:00:00,AM
8/6/17 0:00,Toms River,NJ,Fireball,20 seconds,"Driving S on the Garden State parkway, just a few miles N of the Toms River toll plaza, I witnessed three orange flames.",8/11/17,8/6/17,12:00:00,AM
8/5/17 0:00,Hogansville,GA,Fireball,20 seconds,Fireball floating in the trees.,8/11/17,8/5/17,12:00:00,AM
8/5/17 3:19,Wildwood,NJ,Fireball,~1 hour,Medium to large Fireball deep orange/orangeyellow with dark center looking like round fire??,8/11/17,8/5/17,3:19:00,AM
8/5/17 0:00,Norfolk,VA,Fireball,2-3 minutes,Me and my girlfriend noticed a bright red ball of light in the sky head out over the Chesapeake Bay in the direction of the E shore.,8/11/17,8/5/17,12:00:00,AM
8/4/17 23:49,Portland,OR,Fireball,1 minute,Orange fireball object approxiamtely the size of a grapefruit.,8/11/17,8/4/17,11:49:00,PM
8/4/17 22:00,Ocean City,MD,Fireball,2 minutes,"Two fireballs observed over Atlantic Ocean from Ocean City, Maryland, hotel balcony. ((anonymous report))",1/25/18,8/4/17,10:00:00,PM
8/1/17 6:15,Columbus (North),GA,Fireball,3 seconds,Green streak growing in size moving from west to east at about + 600ft elevation over I-185 looking south,8/4/17,8/1/17,6:15:00,AM
7/31/17 22:00,Sandy Hook,CT,Fireball,2-3 minutes,Flash shuts lights on UFO.,8/4/17,7/31/17,10:00:00,PM
7/31/17 1:52,Buffalo,NY,Fireball,5 seconds,"At ~1:52 AM, my cousin and I were sitting on the patio and saw an extremely large and brilliantly lit teardrop shape green light.",8/4/17,7/31/17,1:52:00,AM
7/29/17 22:15,Enumclaw,WA,Fireball,10 seconds,It was very low it looked like a low flying meteor or a missle shape that streaked across which seemed a few hundred feet above the tre,8/4/17,7/29/17,10:15:00,PM
7/29/17 22:00,Little River,SC,Fireball,1 minute,Outside at 10pm 3 witnesses saw 2 orange glowing fireballs traveling at high speed without a sound the disappeared into the horizon.,8/4/17,7/29/17,10:00:00,PM
7/29/17 21:55,Harrison,ID,Fireball,5 seconds,Fireball in the sky & it went down into the horizon.,8/4/17,7/29/17,9:55:00,PM
7/29/17 21:55,Bellevue,WA,Fireball,10 seconds,Red and Green fireball in Washington,8/4/17,7/29/17,9:55:00,PM
7/28/17 22:30,Chicago,IL,Fireball,Minutes,Three ufos. Fire type over Humboldt Park.,8/4/17,7/28/17,10:30:00,PM
7/28/17 8:30,Lake Worth,FL,Fireball,<1 second,Me and my dad were in the pool late at night it happened as I asked what would you do if aliens came over our house right now? He answe,10/19/17,7/28/17,8:30:00,AM
7/27/17 23:54,Sherman Oaks,CA,Fireball,2 minutes,"Red light over Sherman Oaks, CA.",8/11/17,7/27/17,11:54:00,PM
7/26/17 21:30,Las Cruces,NM,Fireball,20-30 minutes,"Faced Organ mts. From my home in LA Mesa. Noticed orangish burning fireball type ufo, ((anonymous report))",7/27/17,7/26/17,9:30:00,PM
7/26/17 4:20,Phoenix,AZ,Fireball,5 minutes,"I looked to see a beautiful bright Venus in E sky. I then noticed a &quot;Bright, Orange, Light.",7/27/17,7/26/17,4:20:00,AM
7/25/17 5:15,New York City (Manhattan),NY,Fireball,1 minute,Red glowing orb of light. I noticed it outside my window living above the building next door. ((anonymous report)),7/27/17,7/25/17,5:15:00,AM
7/24/17 20:33,Assateague Island,MD,Fireball,5 seconds,A blue fire ball appeared am dead than disappeared in seconds.,9/5/17,7/24/17,8:33:00,PM
7/23/17 21:05,Geneva,IL,Fireball,1 minute,Intense red orb flying in irregular speed and direction at dusk.,7/27/17,7/23/17,9:05:00,PM
7/21/17 20:15,Buzzards Bay,MA,Fireball,~20 seconds,"I was camping at Bourne Scenic Park. I was standing by a fence from above the Cape Cod Canal with the Bourne Bridge in the back ground,",7/27/17,7/21/17,8:15:00,PM
7/20/17 21:45,Santa rosa,CA,Fireball,2 minutes,It looked like a fireball. ((anonymous report)),7/23/17,7/20/17,9:45:00,PM
7/20/17 20:52,New Oxford,PA,Fireball,16 seconds,"Large, bright orange fireball after sunset in sky.",7/23/17,7/20/17,8:52:00,PM
7/15/17 3:50,Wilsall,MT,Fireball,30 minutes,"Huge white light hovering over the Crazy Mountains, MT. ((NUFORC Note: Possible sighting of Venus?? PD))",7/23/17,7/15/17,3:50:00,AM
7/15/17 1:45,Vero Beach,FL,Fireball,45 seconds,"Bright orange fireball, Vero Beach, FL, 4-15-17 1:45 AM.",7/23/17,7/15/17,1:45:00,AM
7/13/17 12:33,Lawrenceville,GA,Fireball,10 seconds,"White star-like object grew larger, dropped, disappeared, reappeared, and continued dropping until gone.",7/14/17,7/13/17,12:33:00,PM
7/12/17 0:45,Artesia,NM,Fireball,3 seconds,"Brantley Lake. To the S, we saw a bright green flash the size of a small plane.",9/12/17,7/12/17,12:45:00,AM
7/11/17 23:12,South Dewey Beach,DE,Fireball,3 seconds,"Bright White Fireball traveling sky left to land-water right over Rehoboth Bay, DE. ((NUFORC Note: Meteor?? Anonymous report. PD))",7/14/17,7/11/17,11:12:00,PM
7/9/17 21:31,Nickerson State Park. Brewster,MA,Fireball,14 seconds,"Camping Nickerson State Park Brewster, MA, witness a craft traveling over flax pond emanating a bright light. ((anonymous report))",7/14/17,7/9/17,9:31:00,PM
7/9/17 21:15,Occoquan,VA,Fireball,2 minutes,Fireball over Occoquan.,7/14/17,7/9/17,9:15:00,PM
7/7/17 22:25,San Diego,CA,Fireball,,"Firework-like ship fell down, then up again, down about 3 circles before disappearing (7 witnesses). ((anonymous report))",7/14/17,7/7/17,10:25:00,PM
7/7/17 22:15,San Diego,CA,Fireball,30 second,Fireball objects appeared in the sky almosy serpent like movement .,7/14/17,7/7/17,10:15:00,PM
7/7/17 21:53,Chula Vista,CA,Fireball,30 seconds,UFO disappears behind mountain. Fireball trail.,7/14/17,7/7/17,9:53:00,PM
7/6/17 22:00,Marshalltown,IA,Fireball,10 seconds,Orange/red light seen on west side of town.,7/7/17,7/6/17,10:00:00,PM
7/6/17 20:58,Anaheim,CA,Fireball,2 seconds,Fireball good across the sky leaving a trail. ((anonymous report)),7/7/17,7/6/17,8:58:00,PM
7/6/17 4:30,Kingman,AZ,Fireball,8-10 minutes,"Recurring quick, bright flashing object from 07/04/17 being pursued by another object in Kingman, AZ",7/14/17,7/6/17,4:30:00,AM
7/5/17 0:35,Portland,OR,Fireball,90 seconds,"Bright orange flickering object observed for 90 seconds flying North to South over Portland, Oregon.",7/7/17,7/5/17,12:35:00,AM
7/4/17 23:25,Dearborn,MI,Fireball,3-4 minutes,Bright slow moving orange (fire) balls moving at an angle up into the sky. ((anonymous report)),7/7/17,7/4/17,11:25:00,PM
7/4/17 23:00,Nampa,ID,Fireball,3 minutes,Looked like a glowing fireball in the sky during fireworks.,7/7/17,7/4/17,11:00:00,PM
7/4/17 22:48,Los Angeles,CA,Fireball,2:00,Not a firework.,7/14/17,7/4/17,10:48:00,PM
7/4/17 22:30,Reston,VA,Fireball,5 minutes,Two fireballs traveled slowly across the sky SE to NW about 2 minutes apart. ((anonymous report)),7/7/17,7/4/17,10:30:00,PM
7/4/17 22:18,Candler,NC,Fireball,3 minutes,Mountain top looked like it was on fire but lifted up and hovered for several min. before flying upward extremely fast. ((anonymous)),7/23/17,7/4/17,10:18:00,PM
7/4/17 22:00,Collinsville,OK,Fireball,5-7 minutes,"Watching fireworks at 9:30 on July 4, 2017. I saw a big red ball moving in the sky, then 3 more appeared, then 3 more.",9/5/17,7/4/17,10:00:00,PM
7/4/17 21:37,Plymouth,MA,Fireball,40 seconds,"Bright orange ball, flying south east to north northeast, brightens then fades while accelerating.",7/7/17,7/4/17,9:37:00,PM
7/4/17 21:30,Levittown,NY,Fireball,5 minutes,4 orange lights lingered in the sky.,7/7/17,7/4/17,9:30:00,PM
7/4/17 21:30,Corona,CA,Fireball,3 seconds,"Fire ball in sky, not fireworks.",7/7/17,7/4/17,9:30:00,PM
7/4/17 21:00,Pueblo,CO,Fireball,5 minutes,"3 fireballs in the night sky of Pueblo, CO.",7/14/17,7/4/17,9:00:00,PM
7/3/17 23:30,Sioux City,IA,Fireball,15 minutes,"I witnessed a bright red light that I thought was a Chinese lantern, but blue lights were pulsating around it. The object started chang",7/7/17,7/3/17,11:30:00,PM
7/2/17 22:10,O'Fallon,MO,Fireball,2 minutes,This is the third UFO I have seen in 5 years in different locations.,7/7/17,7/2/17,10:10:00,PM
7/1/17 23:14,Crown Point,IN,Fireball,20 seconds,I had stepped out on my porch to smoke a cigarette and I always look up to the stars then from my right side view I see a fireball comi,7/7/17,7/1/17,11:14:00,PM
6/30/17 23:14,Nampa,ID,Fireball,3 minutes,"""What's that?"", my wife cried. I stood and beheld a loping orange fireball. Attempting to focus on its shape.",7/7/17,6/30/17,11:14:00,PM
6/28/17 21:37,Portland,OR,Fireball,7:00,"UFO SIGHTING ON JUNE 28TH 2017 IN PORTLAND, OREGON The evening of June 28th I was staying a hotel directly across from the Portland Con",7/7/17,6/28/17,9:37:00,PM
6/24/17 21:00,Ephrata,PA,Fireball,5 minutes,As the wife and I were sitting outside near a field by our home off Arrowhead Dr We saw two red fireball like objects in the sky. Ther,7/7/17,6/24/17,9:00:00,PM
6/23/17 10:30,Plymouth,MN,Fireball,2 minutes,I went to let the dogs out and noticed a glowing orange light flying over the trees. I called my husband and we watched it until it wen,7/7/17,6/23/17,10:30:00,AM
6/22/17 20:45,Desert Hills,AZ,Fireball,20,Objects were in V shaped about 2 miles long with Military jets chasing it. Went Southwest to northeast east towards cave Creek. Also go,7/7/17,6/22/17,8:45:00,PM
6/19/17 22:18,Vancouver,WA,Fireball,2 minutes,"Standing out side just looking up, a redish glow kind of pulsating went by way to fast and no sound it disappeared from site then came",6/22/17,6/19/17,10:18:00,PM
6/17/17 22:40,Wednesbury (UK/England),,Fireball,~45-60 seconds,A fireball looking UFO.,6/22/17,6/17/17,10:40:00,PM
6/17/17 21:45,Bucyrus,OH,Fireball,8 minutes,"Pulsating orb flies silent over residential area, captured on video.",6/22/17,6/17/17,9:45:00,PM
6/14/17 0:15,Los Angeles,CA,Fireball,1.5 seconds,About 1/3 the distance of the Big Dipper Handle. Directly Center and S of the Big Dipper in the W night sky. ((anonymous report)),6/15/17,6/14/17,12:15:00,AM
6/13/17 22:30,Emerald Isle,NC,Fireball,40 minutes,Other people on beach (10+) saw this too. 2-3 horizontal fireball looking circles and two vertical same shape. ((anonymous report)),7/14/17,6/13/17,10:30:00,PM
6/12/17 22:10,Ukiah,CA,Fireball,1 minute,"I was walking my dog- heading north on Oak Manor Drive, I turned west going west on Yosemite Drive . I saw a big white static fireba",6/15/17,6/12/17,10:10:00,PM
6/11/17 14:30,Wilmington,DE,Fireball,10 minutes,100s of blinking fireball like object free fall then hover before disappearing.,6/15/17,6/11/17,2:30:00,PM
6/10/17 22:00,Yakima,WA,Fireball,2 minutes,There was 6 fire balls flying by the house I caoufjt the last one on video.,6/15/17,6/10/17,10:00:00,PM
6/10/17 21:23,Novi,MI,Fireball,20,"Orange fireball over Novi, Michigan, in western sky.",7/14/17,6/10/17,9:23:00,PM
6/10/17 15:50,Boston,MA,Fireball,10 minutes,"I saw what looked like a very twinkly star, kind of white but with red and possibly bluish. ((NUFORC Note: Possibly a star?? PD))",6/15/17,6/10/17,3:50:00,PM
6/10/17 4:20,Half Moon Bay,CA,Fireball,2-3 minutes,Large very bright round 'star' with several smaller moving 'stars' going to & from.,6/15/17,6/10/17,4:20:00,AM
6/9/17 22:20,Eau Claire,WI,Fireball,15 minutes,2 orange lights (fire) appeared moving west over Eau Claire before hovering and disappearing.,6/15/17,6/9/17,10:20:00,PM
